WKT,area_id,style,xmin,ymin,xmax,ymax
"MULTIPOLYGON (((745529 6832985,745529 6839605,752149 6839605,752149 6832985,745529 6832985)))",408,94_style1,745529.000000000000000,6832985.000000000000000,752149.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((699189 6813125,699189 6819745,705809 6819745,705809 6813125,699189 6813125)))",258,94_style1,699189.000000000000000,6813125.000000000000000,705809.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((772009 6866085,772009 6872705,778629 6872705,778629 6866085,772009 6866085)))",497,94_style1,772009.000000000000000,6866085.000000000000000,778629.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((712429 6866085,712429 6872705,719049 6872705,719049 6866085,712429 6866085)))",308,94_style1,712429.000000000000000,6866085.000000000000000,719049.000000000000000,6872705.000000000000000
"MULTIPOLYGON (((652849 6852845,652849 6859465,659469 6859465,659469 6852845,652849 6852845)))",117,94_style1,652849.000000000000000,6852845.000000000000000,659469.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((699189 6832985,699189 6839605,705809 6839605,705809 6832985,699189 6832985)))",261,94_style1,699189.000000000000000,6832985.000000000000000,705809.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((692569 6879325,692569 6885945,699189 6885945,699189 6879325,692569 6879325)))",247,94_style1,692569.000000000000000,6879325.000000000000000,699189.000000000000000,6885945.000000000000000
"MULTIPOLYGON (((758769 6859465,758769 6866085,765389 6866085,765389 6859465,758769 6859465)))",454,94_style1,758769.000000000000000,6859465.000000000000000,765389.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((692569 6832985,692569 6839605,699189 6839605,699189 6832985,692569 6832985)))",240,94_style1,692569.000000000000000,6832985.000000000000000,699189.000000000000000,6839605.000000000931323
"MULTIPOLYGON (((646229 6806505,646229 6813125,652849 6813125,652849 6806505,646229 6806505)))",89,94_style1,646229.000000000000000,6806505.000000000000000,652849.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((685949 6806505,685949 6813125,692569 6813125,692569 6806505,685949 6806505)))",215,94_style1,685949.000000000000000,6806505.000000000000000,692569.000000000000000,6813125.000000000000000
"MULTIPOLYGON (((652849 6839605,652849 6846225,659469 6846225,659469 6839605,652849 6839605)))",115,94_style1,652849.000000000000000,6839605.000000000931323,659469.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((758769 6839605,758769 6846225,765389 6846225,765389 6839605,758769 6839605)))",451,94_style1,758769.000000000000000,6839605.000000000931323,765389.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((745529 6839605,745529 6846225,752149 6846225,752149 6839605,745529 6839605)))",409,94_style1,745529.000000000000000,6839605.000000000931323,752149.000000000000000,6846225.000000000000000
"MULTIPOLYGON (((699189 6872705,699189 6879325,705809 6879325,705809 6872705,699189 6872705)))",267,94_style1,699189.000000000000000,6872705.000000000000000,705809.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((685949 6859465,685949 6866085,692569 6866085,692569 6859465,685949 6859465)))",223,94_style1,685949.000000000000000,6859465.000000000000000,692569.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((818349 6872705,818349 6879325,824969 6879325,824969 6872705,818349 6872705)))",645,94_style1,818349.000000000000000,6872705.000000000000000,824969.000000000000000,6879325.000000000000000
"MULTIPOLYGON (((818349 6852845,818349 6859465,824969 6859465,824969 6852845,818349 6852845)))",642,94_style1,818349.000000000000000,6852845.000000000000000,824969.000000000000000,6859465.000000000000000
"MULTIPOLYGON (((626369 6813125,626369 6819745,632989 6819745,632989 6813125,626369 6813125)))",27,94_style1,626369.000000000000000,6813125.000000000000000,632989.000000000000000,6819745.000000000000000
"MULTIPOLYGON (((659469 6859465,659469 6866085,666089 6866085,666089 6859465,659469 6859465)))",139,94_style1,659469.000000000000000,6859465.000000000000000,666089.000000000000000,6866085.000000000000000
"MULTIPOLYGON (((659469 6846225,659469 6852845,666089 6852845,666089 6846225,659469 6846225)))",137,94_style1,659469.000000000000000,6846225.000000000000000,666089.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((805109 6846225,805109 6852845,811729 6852845,811729 6846225,805109 6846225)))",599,94_style1,805109.000000000000000,6846225.000000000000000,811729.000000000000000,6852845.000000000000000
"MULTIPOLYGON (((798489 6885945,798489 6892565,805109 6892565,805109 6885945,798489 6885945)))",584,94_style1,798489.000000000000000,6885945.000000000000000,805109.000000000000000,6892565.000000000931323
"MULTIPOLYGON (((772009 6899185,772009 6905805,778629 6905805,778629 6899185,772009 6899185)))",502,94_style1,772009.000000000000000,6899185.000000000000000,778629.000000000000000,6905805.000000000000000
"MULTIPOLYGON (((791869 6899185,791869 6905805,798489 6905805,798489 6899185,791869 6899185)))",565,94_style1,791869.000000000000000,6899185.000000000000000,798489.000000000000000,6905805.000000000000000
